Species Link,Species,Order,Family,Number of recordings,Songs,Calls,Instr.,Juveniles,Undefined,Date of last modification,Download Link
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Larus%20marinus&Page=1,"Larus marinus
(Great Black-backed Gull)",Charadriiformes,Laridae,6,-,6,-,-,-,19.08.2014,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Larus%20marinus
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Larus%20fuscus&Page=1,"Larus fuscus
(Lesser Black-backed Gull)",Charadriiformes,Laridae,6,-,6,-,-,-,19.08.2014,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Larus%20fuscus
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Larus%20canus&Page=1,"Larus canus
(Mew Gull)",Charadriiformes,Laridae,18,-,18,-,-,-,19.08.2014,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Larus%20canus
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Larus%20cachinnans&Page=1,"Larus cachinnans
(Caspian Gull)",Charadriiformes,Laridae,4,-,4,-,-,-,19.08.2014,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Larus%20cachinnans
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Larus%20argentatus&Page=1,"Larus argentatus
(European Herring Gull)",Charadriiformes,Laridae,12,-,12,-,-,-,19.08.2014,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Larus%20argentatus
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Columba%20palumbus&Page=1,"Columba palumbus
(Common Wood Pigeon)",Columbiformes,Columbidae,1,1,-,-,-,-,19.08.2014,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Columba%20palumbus
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Columba%20oenas&Page=1,"Columba oenas
(Stock Dove)",Columbiformes,Columbidae,3,2,1,-,-,-,19.08.2014,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Columba%20oenas
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Charadrius%20morinellus&Page=1,"Charadrius morinellus
(Eurasian Dotterel)",Charadriiformes,Charadriidae,1,-,1,-,-,-,19.08.2014,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Charadrius%20morinellus
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Charadrius%20alexandrinus&Page=1,"Charadrius alexandrinus
(Kentish Plover)",Charadriiformes,Charadriidae,2,2,-,-,-,-,19.08.2014,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Charadrius%20alexandrinus
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Carduelis%20citrinella&Page=1,"Carduelis citrinella
(Citril Finch)",Passeriformes,Fringillidae,3,2,1,-,-,-,19.08.2014,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Carduelis%20citrinella
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Calidris%20canutus&Page=1,"Calidris canutus
(Red Knot)",Charadriiformes,Scolopacidae,1,-,1,-,-,-,19.08.2014,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Calidris%20canutus
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Arenaria%20interpres&Page=1,"Arenaria interpres
(Ruddy Turnstone)",Charadriiformes,Scolopacidae,8,-,4,-,4,-,19.08.2014,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Arenaria%20interpres
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Sterna%20hirundo&Page=1,"Sterna hirundo
(Common Tern)",Charadriiformes,Laridae,9,-,9,-,-,-,25.06.2014,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Sterna%20hirundo
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Merops%20apiaster&Page=1,"Merops apiaster
(European Bee-eater)",Coraciiformes,Meropidae,18,-,18,-,-,-,25.06.2014,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Merops%20apiaster
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Chroicocephalus%20ridibundus&Page=1,"Chroicocephalus ridibundus
(Black-headed Gull)",Charadriiformes,Laridae,21,-,21,-,-,-,25.06.2014,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Chroicocephalus%20ridibundus
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Apus%20apus&Page=1,"Apus apus
(Common Swift)",Apodiformes,Apodidae,14,-,11,-,3,-,25.06.2014,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Apus%20apus
https://www.tierstimmenarchiv.de/RefSys/Species.php?PHPSESSID=2r983p6i4fov1oqv9a3b3qcn92&Species=Alcedo%20atthis&Page=1,"Alcedo atthis
(Common Kingfisher)",Coraciiformes,Alcedinidae,6,-,6,-,-,-,25.06.2014,https://www.tierstimmenarchiv.de/RefSys/downloadSpecies.php?&Species=Alcedo%20atthis
